# master.sh manifest — 2026-06-29T02:49:06Z
# url	category	dir-name	tag	status
https://github.com/resilience4j/resilience4j.git	java	resilience4j	v2.4.0	cloned
https://github.com/Netflix/Hystrix.git	java	hystrix	v1.5.18	cloned
https://github.com/Netflix/eureka.git	java	eureka	v2.0.6	cloned
https://github.com/Netflix/ribbon.git	java	ribbon	v2.7.18	cloned
https://github.com/OpenFeign/feign.git	java	feign	v8.18.0	cloned
https://github.com/eclipse/microprofile.git	java	microprofile	7.1-RC1	cloned
https://github.com/quarkusio/quarkus.git	java	quarkus	3.37.0.CR1	cloned
https://github.com/micronaut-projects/micronaut-core.git	java	micronaut	v5.1.2	cloned
https://github.com/helidon-io/helidon.git	java	helidon	DATA_MP	cloned
https://github.com/undertow-io/undertow.git	java	undertow	2.4.2.Final	cloned
https://github.com/asynchttpclient/async-http-client.git	java	async-http-client	async-http-client-project-3.0.11	cloned
https://github.com/apache/activemq.git	java	activemq	activemq-parent-5.5.1	cloned
https://github.com/apache/activemq-artemis.git	java	activemq-artemis	2.55.0	cloned
https://github.com/zeromq/jeromq.git	java	jeromq	v0.6.0	cloned
https://github.com/google/tink.git	java	tink	v1.7.0	cloned
https://github.com/conscrypt/conscrypt.git	java	conscrypt		no-tag
https://github.com/Netflix/zuul.git	java	zuul	zuul-1.0.28	cloned
https://github.com/micrometer-metrics/micrometer.git	java	micrometer	v2.0.0-M3	cloned
https://github.com/open-telemetry/opentelemetry-java.git	java	opentelemetry-java	v1.63.0	cloned
https://github.com/openzipkin/zipkin.git	java	zipkin	zipkin-server-0.2.0	cloned
https://github.com/open-telemetry/opentelemetry-java-instrumentation.git	java	otel-java-instrumentation	v2.29.0	cloned
https://github.com/apache/skywalking.git	java	skywalking	v10.4.0	cloned
https://github.com/pinpoint-apm/pinpoint.git	java	pinpoint	v3.1.0	cloned
https://github.com/mybatis/mybatis-3.git	java	mybatis	mybatis-3.5.19	cloned
https://github.com/baomidou/mybatis-plus.git	java	mybatis-plus	v3.5.16	cloned
